"Path","Classification","MissingFields"
"engineering/specifications/WP-103/EG-017-Builder-Reporting.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-018-Builder-CLI-Architecture.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-019-CLI-Core-Model.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-020-Argument-Parsing-and-Command-Registry.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-021-Application-and-Core-Commands.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-022-Engine-Composition-and-Request-Mapping.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-023-Reporting-and-Exit-Mapping.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-104/EG-024-Executable-Packaging-and-End-to-End-Validation.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-025-Built-in-Generators-Architecture.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-026-A1-CLI-Argv-Test-Correction.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-026-Repository-Index-Generator.md","compliant",""
"engineering/specifications/WP-105/EG-027-Reference-Report-Generator.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-028-Reference-Graph-Generator.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-029-Repository-Manifest-Generator.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-030-A1-CommandResult-Output-Correction.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-030-Documentation-Navigation-Generator.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-105/EG-031-Built-in-Generators-End-to-End-Validation.md","compliant",""
"engineering/specifications/WP-106/EG-032-Built-in-Analyzers-Architecture.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-033-A1-Diagnostic-Code-Correction.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-033-Metadata-Completeness-Analyzer.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-034-A1-Deterministic-Object-Comparison-Correction.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-034-Reference-Integrity-Analyzer.md","compliant",""
"engineering/specifications/WP-106/EG-035-Document-Consistency-Analyzer.md","compliant",""
"engineering/specifications/WP-106/EG-036-Repository-Policy-Analyzer.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-037-Generated-Artifacts-Analyzer.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-106/EG-038-Built-in-Analyzers-End-to-End-Validation.md","compliant",""
"engineering/specifications/WP-107/EG-039-Build-Profiles-and-Repository-Configuration.md","compliant",""
"engineering/specifications/WP-107/EG-040-Configuration-Model-and-JSON-Loader.md","compliant",""
"engineering/specifications/WP-107/EG-041-Build-Profile-Model-and-Resolver.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-107/EG-042-Extension-Catalog-Validation.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-107/EG-043-Repository-Policy-Configuration.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-107/EG-044-CLI-Profile-Integration.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/specifications/WP-107/EG-045-Build-Profiles-End-to-End-Validation.md","compliant",""
"engineering/specifications/WP-107/EG-046-Product-Completion.md","compliant",""
"engineering/specifications/WP-108/EG-047-Repository-Metadata-Migration.md","compliant",""
"engineering/specifications/WP-108/EG-048-Repository-Discovery-Normalization.md","compliant",""
"engineering/specifications/WP-108/EG-049-Front-Matter-Migration.md","compliant",""
"engineering/standards/Documentation-Standard.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"engineering/standards/ES-002-Metadata-Standard.md","compliant",""
"engineering/standards/ES-003-Document-Class-Model.md","compliant",""
"engineering/standards/INDEX.md","compliant",""
"engineering/standards/README.md","compliant",""
"engineering/standards/TEMPLATE.md","compliant",""
"GOVERNANCE.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"README.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"SECURITY.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"src/Foundation/CHANGELOG.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"src/Foundation/README.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"SUPPORT.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/CHANGELOG.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/docs/adr/0001-filesystem-contract.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/docs/adr/0002-instance-support-services.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/docs/build-profiles.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/docs/repository-discovery.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/docs/support-usage.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/README.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
"tools/builder/SPEC.md","missing_front_matter","id,title,status,version,category,authors,created,updated,tags,depends_on,related_adrs"
